TITLE,ARTIST,ID,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Easy,Commodores,1JQ6Xm1JrvHfvAqhl5pwaA,0.589,0.384,-15.075,0.0332,0.112,2.8e-05,0.0596,0.354,132.909
Eat Steak,The Reverend Horton Heat,0DiixF2hwgEo2v8nljFCdN,0.566,0.781,-9.02,0.0465,0.569,0.0,0.162,0.822,91.143
Edge Of Seventeen,Stevie Nicks,2id8E4WvczfKHB4LHI7Np3,0.59,0.828,-6.28,0.0439,0.277,5.57e-06,0.0868,0.636,111.353
Either Way,Wilco,5ovcVaOus1Wv4vTtyGXlhB,0.542,0.546,-9.927,0.0323,0.597,0.00382,0.111,0.344,74.797
Eminence Front,The Who,0LN5gIsS5tQSmRzQrHSaTR,0.697,0.787,-9.695,0.0305,0.232,0.587,0.0404,0.572,98.066
Enjoy Yourself (It's Later Than You Think),Guy Lombardo,0lMk95xQZtrTDFZGvXvqnU,0.784,0.382,-11.09,0.186,0.614,0.0,0.0479,0.882,145.96
Esseri umani,Marco Mengoni,1tefUBqLAW9l6HC10qOtCA,0.343,0.771,-4.371,0.0423,0.0843,0.0,0.195,0.301,183.677
Everlasting Love,Robert Knight,0YR8dAoJh6Hba2c9EvppJI,0.618,0.442,-13.154,0.0313,0.624,0.0291,0.106,0.403,116.113
Every Time the Sun Comes Up,Sharon Van Etten,38ydcsbayM4oX21Hhu84DT,0.663,0.522,-8.741,0.0374,0.392,5.41e-06,0.197,0.301,99.765
Everybody Knows,Leonard Cohen,60s0QWaOZ2UTzqdIHBCt3x,0.785,0.457,-13.827,0.0273,0.643,2.57e-06,0.172,0.692,104.205
Everybody's Happy Nowadays,Buzzcocks,7xUEsVEwSSXhjgBgZG57Tl,0.535,0.802,-7.472,0.137,0.00347,6.2e-06,0.18,0.598,110.591
Everyday,Slade,5qgGXHf4yXNk2Z1LzMQDCh,0.521,0.464,-3.883,0.025,0.65,3.58e-06,0.368,0.263,85.486
